bin,SAM,MPAS,ICONLEM,ICONNWP
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,1
6,0,0,0,1
7,0,9,0,2
8,0,258,0,3
9,0,1349,0,2
10,13,5116,0,2
11,231,13752,0,5
12,1584,31034,0,9
13,7747,63160,0,3
14,23725,132992,0,10
15,60248,297795,0,675
16,142916,659796,5,6195
17,285946,1305862,98,21515
18,474398,2115266,472,46494
19,717642,2981913,1816,77693
20,1014815,3839156,5701,119281
21,1355730,4734486,13148,182145
22,1730777,5715776,26394,273472
23,2092614,6735077,46994,378836
24,2392931,7650408,79126,461679
25,2598975,8435603,122818,540127
26,2705822,9077239,166041,628670
27,2757432,9541557,212825,740446
28,2748597,9825109,256820,846999
29,2704567,9918103,288511,967533
30,2641806,9761271,308147,1110200
31,2577159,9378210,324094,1275590
32,2505858,8885066,345075,1426405
33,2452703,8365880,371480,1535738
34,2394623,7878779,405184,1618041
35,2335086,7487632,437114,1662482
36,2282919,7155022,463324,1692951
37,2253084,6866788,490133,1714843
38,2239345,6608401,518290,1762106
39,2233314,6427145,539123,1814689
40,2215108,6256402,558684,1873128
41,2195540,6096978,571213,1899974
42,2176798,5983462,573587,1917826
43,2168595,5896327,568618,1972463
44,2181867,5814543,563234,2058559
45,2194494,5802956,557110,2223887
46,2185404,5844685,549002,2474947
47,2159795,5929508,540948,2843841
48,2125574,6060737,532892,3335075
49,2092864,6314196,521620,3843436
50,2087044,6683297,513606,4297717
51,2100143,7186989,507927,4608173
52,2116138,8000782,508024,4797488
53,2136498,9181372,510404,4913425
54,2172065,10860120,515865,5029802
55,2228227,13074763,525896,5128873
56,2295474,15884283,538342,5183946
57,2366550,19313653,551748,5220176
58,2465369,23587865,570166,5244084
59,2597464,28686999,597230,5314439
60,2736665,34337254,630961,5448250
61,2877481,40017281,667229,5636879
62,3021432,44976620,704357,5801885
63,3128949,48466032,744457,5875227
64,3199874,50224812,791602,5854159
65,3245837,50300639,834784,5709011
66,3277019,49090061,873226,5427521
67,3277717,46603667,902002,5004513
68,3240448,43003378,903369,4455471
69,3188215,38827452,866023,3813950
70,3133953,34175701,775595,3137342
71,3059178,29293632,651156,2450581
72,2964399,24421307,502577,1826448
73,2853527,19707661,350137,1292253
74,2723505,15428230,225656,872938
75,2569298,11711060,136744,576874
76,2404314,8657907,81590,374691
77,2230690,6269617,49732,248588
78,2044693,4461941,31495,173412
79,1857287,3128526,20263,126364
80,1659218,2163813,12447,95421
81,1445211,1475495,6867,75986
82,1227120,981074,3706,61474
83,1014073,640561,1787,50859
84,818990,404354,839,43066
85,647154,241652,358,36151
86,504396,135727,117,30521
87,387460,68948,58,25979
88,291285,31964,11,21965
89,209541,13115,4,18559
90,143277,4293,2,15738
91,89726,1115,0,13041
92,49139,174,0,10666
93,22800,10,0,8733
94,8421,0,0,6735
95,2255,0,0,5437
96,347,0,0,4152
97,32,0,0,3100
98,0,0,0,2328
99,0,0,0,1707
100,0,0,0,1224
